付款客户,K&S订单号,费率,服务地点,零件号,零件名称,备注,录入方式
江苏恒义工业技术有限公司,KS-WH-HYI-239270,39,,,,39+15+0,
广州祥鑫,KS-WH-XXI-239271,39,,,,,
江安聚造科技有限公司,,39,,,,,
惠州科达利精密工业有限公司,KS-WH-KDL-239443,39,,,,,
深圳飞荣达,KS-WH-FRD-239269,38,,,,,
烟台丛林精密机械有限公司,KS-WH-CLI-239308,39,,,,,
宜宾凯利能源科技有限公司,,39,,,,,
成都领韬新能源科技有限公司,KS-WH-LTO-239268,39,,,,,
昆山长盈精密技术有限公司,,36,,,,,
四川科达利精密工业有限公司,KS-WH-KDL-239263,35,,,顶盖,,1
广东领益,KS-WH-LSH-239267,35,,,,,
江西天铭新能源汽车配件有限公司,KS-WH-TMI-239275,39,,,,,
深圳天合星,,39,,,,,
东莞达瑞,KS-WH-DAR-239277,39,,,,,
上海科特新材料股份有限公司,KS-WH-KET-239478,40,,,,40+20+0,
福建佳鑫金属科技有限公司,,39,,,,,
东莞硅翔有限公司,KS-WH-KXI-239497,39,,,,月底统一发,
河南爱彼爱和新材料有限公司,KS-WH-ABA-239597,39,,,,39+20+0,
福建守信新材料科技有限公司,KS-WH-SXI-239259,39,,,,,
飞荣达(润星泰),KS-WH-RXT-239279,39,,,,,
溧阳纵贯线,,39,,,,,
厦门力富电子有限公司,KS-WH-LFU-239272,39,,,,,
上海日泰汽车零部件销售有限公司,,39,,,,,
浙江荣泰电工器材股份有限公司,KS-WH-ROT-239441,39,,,,,
厦门宏发电力电器有限公司,,39,,,,,
苏州宝优际科技股份有限公司,KS-WH-BYJ-239388,39,,,,,
华北铝业,,39,,,,,
东莞蒲微,KS-WH-PUW-239644,39,,,,,
宜宾祥鑫,KS-WH-XXI-239260,39,,,,,
安博,KS-WH-ABX-239611,39,,,,,
广州祥鑫,KS-WH-XXI-239395,39,钢猫,,,,
深圳市富程威科技股份有限公司,KS-WH-FCW-239310,39,,,,,
福建腾博新材料科技有限公司,KS-WH-TBO-239273,39,,,,,
重庆平伟汽车科技股份有限公司,KS-WH-LWE-239115,39,,,,,
烟台德邦科技股份有限公司,KS-WH-DEB-239447,45,,,,,
宣城立讯,KS-WH-LIX-239302,39,,,,,
浙江锦泰电子有限公司,KS-WH-JTA-239095,35,,,铝,,
安费诺（常州）连接系统有限公司,,39,,,,,
重庆卡福汽车制动转向系统有限公司,KS-WH-KFU-239278,39,,,,,
宜宾华庆汽车部件有限公司,KS-WH-HQI-239298,35,,,,,
成都西典新能汽车电子有限公司,KS-WH-XID-239282,35,,,,,
宁波新华泰模塑电器有限公司,KS-WH-XHT-239668,39,,,,,
天海雪城汽车电子（重庆）有限公司,,39,,,,,
重庆铭利达科技有限公司,KS-WH-MLD-239261,39,,,,,
浙江菲亚伏电子有限公司,KS-WH-FYF-239499,39,,,,,
跨越,,39,,,,,
江苏中迪,,39,,,,,
晋吉螺丝,,39,,,,,
江苏铭利达科技有限公司,,39,,,,,
广东美信,,39,,,,,
常州极太汽车配件有限公司,,39,,,,,
宁德天铭新能源汽车配件有限公司,KS-WH-TMX-239274,39,,,,,
昆山市玉山镇仁致电子器材厂,KS-WH-RZI-239526,39,,,,,
优格电子,KS-WH-YGE-239285,39,,,,,
上海奥达科,KS-WH-ADK-239296,39,,,,,
宜宾长盈,KS-WH-CYI-239264,36,,,,,
恩施立讯,KS-WH-LXU-239669,39,,,,,
湖北平安电工材料有限公司,,39,,,,,
深圳长盈,,36,,,,,
广东蓝光,KS-WH-LGU-239667,39,,,,,
江苏华盛,,39,,,,,
安徽力翔,,30,,,,,
自贡长盈,KS-WH-CYI-239265,36,,,,,
昆山维开恩,KS-WH-WKA-239643,39,,,,,
苏州鸿钜,,39,,,,,
东莞市欣美电子材料有限公司,,39,,,,,
中山诗兰姆汽车零部件有限公司,,39,,,,,
佳超科技,KS-WH-JCH-239437,39,,,,,
重庆渝美,KS-WH-RFA-239496,45,,,,45+20+0,
重庆溯联塑胶股份有限公司,,39,,,,,
宜安科技,,39,,,,,
东莞澳中新材料科技股份有限公司,,39,,,,,
四川科达利精密工业有限公司,KS-WH-KDL-239649,35,,,铝,,
上海嘉瑞,KS-WH-JRJ-239305,39,,,,,
博奥镁铝,KS-WH-BAO-239390,39,,,,,
宜宾德佳能源科技有限责任公司,,39,,,,,
维肯恩,,39,,,,,
苏州英东模塑有限公司,KS-WH-YDO-239560,39,,,,,
四川银轮新能源热管理系统有限公司,KS-WH-YLU-239292,39,,,,,
佳鑫科技,,39,,,,,
湖北立迅精密,,39,,,,,
重庆渝方美,KS-WH-RFA-239496,45,,,,45+20+0,
苏州宝优际料技股份有限公司,KS-WH-BYJ-239388,39,,,,,
重庆至信实业集团有限公司 ,KS-WH-ZXI-239392,39,,,,,
东莞欣美,,39,,,,,
广东欣美,,39,,,,,
宜城立讯,,39,,,,,
重庆沪光汽车电器有限公司,KS-WH-LUG-239266,39,,,,,
苏州西典新能源汽车电子有限公司,,35,,,,,
本妙,,39,,,,,
晋亿螺丝（福州）有限公司,,39,,,,,
江苏飞荣达,KS-WH-RXT-239279,39,,,,,
温州丰迪接插件有限公司,,39,,,,,
宁德博明科技有限公司,KS-WH-BOM-239389,39,,,,,
重庆福泰汽车科技有限公司,,39,,,,,
重庆CCL(丝艾),,39,,,,,
宜宾壹联,,39,,,,,
东莞佳超,KS-WH-JCH-239437,39,,,,,
宁德华阳,KS-WH-HYA-239440,39,,,,,
苏州科伦特电源科技有限公司,,39,,,,,
永成双海,KS-WH-YCH-239528,39,,,,,
高强物流,,39,,,,,
浙江银轮新能源热管理系统有限公司,KS-WH-YLU-239455,39,,,,,
福州荣盛荣,KS-WH-RSR-239662,39,,,,,
湖南吉永盛汽车零部件有限公司,KS-WH-JYS-239527,39,,,,,
宁德晟硕科技有限公司,,39,,,,,
绵阳诗兰姆汽车零部件有限公司,,39,,,,,
浙江锦泰电子有限公司,KS-WH-LIH-239262,35,,,铜,,
杭州优格,KS-WH-YGE-239285,39,,,,,
苏州可川电子科技股份有限公司,KS-WH-KEC-239438,39,,,,,
东莞骏青电子,,39,,,,,
纳百川新能源股份有限公司,KS-WH-NBA-239444,39,,,,,
上海达瑞,KS-WH-DAR-239277,39,,,,,
四川永贵科技有限公司,KS-WH-YGU-239287,39,,,,,
西安中熔电气股份有限公司,KS-WH-ZRO-239446,39,,,,,
宜宾银轮,KS-WH-YLU-239292,39,,,,,
常州括达,KS-WH-TDA-239479,39,,,,,
常州拓达绝热材料有限公司,KS-WH-TDA-239479,39,,,,,
重庆优茨巴,KS-WH-YCB-239498,39,,,,,
重庆优茨巴汽车部件有限公司,KS-WH-YCB-239498,39,,,,,
湖南吉永胜,KS-WH-JYS-239527,39,,,,,
飞荣达（润星泰）,KS-WH-RXT-239279,39,,,,,
重庆优次巴,KS-WH-YCB-239498,39,,,,,
联伟卸货,,39,,,,KS-WH-LWE-239547,
富钛金属科技（昆山）有限公司,KS-WH-FUT-239552,39,,,,,
安捷利,KS-WH-AJL-239561,39,,,,,
浙江亚迪纳新材料科技股份有限公司,KS-WH-YDN-239596,39,,,,,
石狮通达,KS-WH-GHE-239642,39,,,,,
广东合晟新能源科技有限公司,KS-WH-HSH-239670,39,,,,,
宁波震裕,KS-WH-ZYU-238676,39,,478,,,1
宁波震裕,KS-WH-ZYU-238677,39,,204,,,1
